,M,D,O,n,Fvco,Fref,Fout,Fout (MHz),delay,delay (ps)
8,60,1,6,32,600000000.0,10000000,100000000.0,100.0,3.333333e-09,3333.3329999999996
493,160,1,16,85,1600000000.0,10000000,100000000.0,100.0,3.359375e-09,3359.375
293,130,1,13,69,1300000000.0,10000000,100000000.0,100.0,3.365385e-09,3365.3849999999998
133,100,1,10,53,1000000000.0,10000000,100000000.0,100.0,3.375e-09,3375.0
33,70,1,7,37,700000000.0,10000000,100000000.0,100.0,3.392857e-09,3392.857
174,110,1,11,58,1100000000.0,10000000,100000000.0,100.0,3.409091e-09,3409.0910000000003
431,150,1,15,79,1500000000.0,10000000,100000000.0,100.0,3.416667e-09,3416.667
62,80,1,8,42,800000000.0,10000000,100000000.0,100.0,3.4375e-09,3437.5000000000005
292,130,1,13,68,1300000000.0,10000000,100000000.0,100.0,3.461538e-09,3461.5379999999996
95,90,1,9,47,900000000.0,10000000,100000000.0,100.0,3.472222e-09,3472.2220000000007
345,140,1,14,73,1400000000.0,10000000,100000000.0,100.0,3.482143e-09,3482.143
132,100,1,10,52,1000000000.0,10000000,100000000.0,100.0,3.5e-09,3500.0
491,160,1,16,83,1600000000.0,10000000,100000000.0,100.0,3.515625e-09,3515.625
173,110,1,11,57,1100000000.0,10000000,100000000.0,100.0,3.522727e-09,3522.7270000000003
7,60,1,6,31,600000000.0,10000000,100000000.0,100.0,3.541667e-09,3541.667000000001
291,130,1,13,67,1300000000.0,10000000,100000000.0,100.0,3.557692e-09,3557.6920000000005
32,70,1,7,36,700000000.0,10000000,100000000.0,100.0,3.571429e-09,3571.429
429,150,1,15,77,1500000000.0,10000000,100000000.0,100.0,3.583333e-09,3583.3330000000005
61,80,1,8,41,800000000.0,10000000,100000000.0,100.0,3.59375e-09,3593.7499999999995
94,90,1,9,46,900000000.0,10000000,100000000.0,100.0,3.611111e-09,3611.111
131,100,1,10,51,1000000000.0,10000000,100000000.0,100.0,3.625e-09,3625.0000000000005
172,110,1,11,56,1100000000.0,10000000,100000000.0,100.0,3.636364e-09,3636.364
217,120,1,12,61,1200000000.0,10000000,100000000.0,100.0,3.645833e-09,3645.8330000000005
