,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
607,160,1,16,98,1600000000.0,62500.0,10000000,100000000.0,100.0,2.3437500000000007e-09,2343.750000000001,1.0512720920988259
171,100,1,10,61,1000000000.0,100000.0,10000000,100000000.0,100.0,2.3749999999999998e-09,2375.0,0.6765069716242661
276,120,1,12,73,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,2.395833333333334e-09,2395.833333333334,0.8000979492824527
532,150,1,15,91,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.416666666666667e-09,2416.666666666667,0.988145874103066
606,160,1,16,97,1600000000.0,62500.0,10000000,100000000.0,100.0,2.421875e-09,2421.875,1.0512720920988259
605,160,1,16,96,1600000000.0,62500.0,10000000,100000000.0,100.0,2.500000000000001e-09,2500.000000000001,1.0512720920988259
604,160,1,16,95,1600000000.0,62500.0,10000000,100000000.0,100.0,2.578125e-09,2578.125,1.0512720920988259
530,150,1,15,89,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.5833333333333333e-09,2583.3333333333335,0.988145874103066
274,120,1,12,71,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,2.604166666666667e-09,2604.166666666667,0.8000979492824527
169,100,1,10,59,1000000000.0,100000.0,10000000,100000000.0,100.0,2.6250000000000003e-09,2625.0000000000005,0.6765069716242661
603,160,1,16,94,1600000000.0,62500.0,10000000,100000000.0,100.0,2.6562500000000002e-09,2656.2500000000005,1.0512720920988259
529,150,1,15,88,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.6666666666666666e-09,2666.6666666666665,0.988145874103066
361,130,1,13,76,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.6923076923076925e-09,2692.3076923076924,0.8625076208038536
273,120,1,12,70,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,2.7083333333333336e-09,2708.3333333333335,0.8000979492824527
602,160,1,16,93,1600000000.0,62500.0,10000000,100000000.0,100.0,2.7343750000000003e-09,2734.3750000000005,1.0512720920988259
528,150,1,15,87,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.75e-09,2750.0,0.988145874103066
425,140,1,14,81,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.7678571428571427e-09,2767.8571428571427,0.9252097602739726
360,130,1,13,75,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.7884615384615383e-09,2788.4615384615386,0.8625076208038536
601,160,1,16,92,1600000000.0,62500.0,10000000,100000000.0,100.0,2.8125000000000004e-09,2812.5000000000005,1.0512720920988259
527,150,1,15,86,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.833333333333334e-09,2833.333333333334,0.988145874103066
424,140,1,14,80,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.857142857142857e-09,2857.1428571428573,0.9252097602739726
167,100,1,10,57,1000000000.0,100000.0,10000000,100000000.0,100.0,2.875e-09,2875.0,0.6765069716242661
600,160,1,16,91,1600000000.0,62500.0,10000000,100000000.0,100.0,2.8906250000000004e-09,2890.6250000000005,1.0512720920988259
526,150,1,15,85,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.916666666666667e-09,2916.6666666666674,0.988145874103066
423,140,1,14,79,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.9464285714285717e-09,2946.4285714285716,0.9252097602739726
599,160,1,16,90,1600000000.0,62500.0,10000000,100000000.0,100.0,2.9687500000000005e-09,2968.7500000000005,1.0512720920988259
358,130,1,13,73,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.9807692307692307e-09,2980.769230769231,0.8625076208038536
525,150,1,15,84,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.0000000000000004e-09,3000.0000000000005,0.988145874103066
422,140,1,14,78,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.035714285714286e-09,3035.7142857142862,0.9252097602739726
598,160,1,16,89,1600000000.0,62500.0,10000000,100000000.0,100.0,3.0468750000000006e-09,3046.8750000000005,1.0512720920988259
357,130,1,13,72,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.0769230769230774e-09,3076.9230769230776,0.8625076208038536
524,150,1,15,83,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.0833333333333336e-09,3083.3333333333335,0.988145874103066
597,160,1,16,88,1600000000.0,62500.0,10000000,100000000.0,100.0,3.125e-09,3125.0,1.0512720920988259
523,150,1,15,82,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.166666666666667e-09,3166.666666666667,0.988145874103066
214,110,1,11,60,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,3.181818181818182e-09,3181.818181818182,0.7380605096957837
596,160,1,16,87,1600000000.0,62500.0,10000000,100000000.0,100.0,3.203125e-09,3203.125,1.0512720920988259
268,120,1,12,65,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,3.2291666666666666e-09,3229.1666666666665,0.8000979492824527
522,150,1,15,81,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.25e-09,3250.0,0.988145874103066
355,130,1,13,70,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.26923076923077e-09,3269.23076923077,0.8625076208038536
595,160,1,16,86,1600000000.0,62500.0,10000000,100000000.0,100.0,3.28125e-09,3281.25,1.0512720920988259
419,140,1,14,75,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.303571428571429e-09,3303.571428571429,0.9252097602739726
521,150,1,15,80,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.3333333333333334e-09,3333.3333333333335,0.988145874103066
594,160,1,16,85,1600000000.0,62500.0,10000000,100000000.0,100.0,3.359375e-09,3359.375,1.0512720920988259
354,130,1,13,69,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.3653846153846156e-09,3365.3846153846157,0.8625076208038536
418,140,1,14,74,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.3928571428571433e-09,3392.8571428571436,0.9252097602739726
520,150,1,15,79,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.4166666666666667e-09,3416.6666666666665,0.988145874103066
593,160,1,16,84,1600000000.0,62500.0,10000000,100000000.0,100.0,3.4375e-09,3437.5000000000005,1.0512720920988259
353,130,1,13,68,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.4615384615384614e-09,3461.5384615384614,0.8625076208038536
417,140,1,14,73,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.482142857142857e-09,3482.142857142857,0.9252097602739726
592,160,1,16,83,1600000000.0,62500.0,10000000,100000000.0,100.0,3.5156250000000003e-09,3515.6250000000005,1.0512720920988259
211,110,1,11,57,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,3.522727272727273e-09,3522.7272727272734,0.7380605096957837
352,130,1,13,67,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.557692307692308e-09,3557.692307692308,0.8625076208038536
416,140,1,14,72,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.5714285714285715e-09,3571.4285714285716,0.9252097602739726
591,160,1,16,82,1600000000.0,62500.0,10000000,100000000.0,100.0,3.5937500000000003e-09,3593.7500000000005,1.0512720920988259
116,90,1,9,46,900000000.0,111111.11111111111,10000000,100000000.0,100.0,3.611111111111111e-09,3611.111111111111,0.6155986355729506
210,110,1,11,56,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,3.636363636363637e-09,3636.363636363637,0.7380605096957837
